team_id,elo
1,1546.4872475890113
2,1614.5512668142856
3,1613.9832831370175
4,1555.3365275764438
5,1513.744750546986
6,1604.5668352461798
7,1575.599119073338
8,1633.417873293145
9,1689.853421234143
10,1635.3298808907825
11,1475.1627248823772
12,1516.7456706160415
13,1645.7649752598247
14,1513.5108006443852
15,1554.8884619445564
16,1515.5601793465107
17,1509.2784965166204
18,1474.842514503597
19,1548.9655902718625
20,1523.1242507317545
21,1563.06700316536
22,1542.6987193219122
23,1500.0
24,1541.1002332255684
25,1601.106847994071
26,1710.6257203794241
27,1599.1919583724134
28,1571.5183669912992
29,1475.8008895219043
30,1505.4368222129162
31,1619.9293910727852
32,1580.1131208335123
767,1519.4419982981924
768,1587.28124813637
769,1479.922606304927
770,1574.278647834017
771,1532.4392278209941
772,1517.8557918402043
773,1587.5042974862758
774,1550.8888865116
775,1575.3966667880152
776,1502.3572237697183
777,1602.9673963407647
778,1504.4186991624756
1090,1617.7075630484762
1091,1497.1032604718969
1092,1401.964817733235
1093,1378.1539225989493
1094,1403.2753420495703
1095,1396.152823619881
1096,1425.404988842058
1097,1368.7509947600474
1098,1488.6321788485309
1099,1437.1248678552056
1100,1427.487119686753
1101,1406.3945739826281
1102,1396.137337907235
1103,1446.9750918270383
1104,1491.4561505623897
1105,1543.239035391704
1106,1449.60003785296
1107,1369.8954598398725
1108,1516.215053811618
1109,1434.072296744614
1110,1371.2136933654588
1111,1558.596958881894
1112,1426.37800785774
1113,1509.6710185240977
1114,1439.5053870266604
1115,1378.7340861740674
1116,1487.8279974521988
1117,1532.2150496118063
1118,1605.8984138639717
1489,1483.18418483524
1490,1564.6531411992116
1491,1440.8385094822754
1492,1466.285362907937
1493,1491.2324946415952
1494,1418.4451743507202
1495,1463.9801952957168
1496,1461.7283053944873
1497,1439.648177284114
1499,1489.5391114192741
1500,1570.4933589919224
1501,1604.4907608778894
1502,1527.587846302908
1503,1546.8667735285362
1504,1536.5245540848714
1505,1486.9607921730692
1506,1478.073066236528
1507,1453.0997894036498
1508,1555.6815259421026
1509,1529.5739115009683
1510,1493.6591611366707
1511,1533.535199444221
1512,1502.9125768914982
1513,1445.1477017334755
1514,1495.3979794603779
1515,1416.028680103853
1516,1529.3083869165755
1517,1472.5107550130886
1518,1474.4403633579182
1519,1531.555457075002
1520,1458.533720140612
1521,1525.667950635209
1522,1443.0314922043976
1523,1425.4639863226407
1524,1511.3497138381642
1525,1500.7715000177452
1526,1569.0849533345188
1527,1470.0115508173392
1528,1445.2519336842574
1529,1511.1652989074682
1530,1524.7755356508405
1531,1568.468276620743
1532,1585.9685688407467
1533,1603.4668962600144
1534,1473.4833210185604
1535,1447.4568321519318
1536,1531.6654092028693
1537,1522.9118570565786
1538,1566.6341800172547
1539,1484.6177101627397
1540,1498.7533179972534
1542,1480.0637948194264
1543,1479.637433102361
1545,1471.6260854201146
1546,1516.777521348464
1547,1512.3529884381817
1548,1484.8120371078521
1549,1514.3184906289848
1550,1499.807839298125
1551,1508.0571709822673
1552,1513.3285311329794
1553,1468.2900518932781
1554,1437.2187310514346
1555,1515.2224003705
1556,1526.3156088763533
1557,1482.14759835444
1558,1472.965291255492
1560,1500.5677590170203
1561,1500.0
1562,1433.4675985929882
1563,1515.0
1564,1474.2585299712698
1565,1520.598211334316
1566,1500.0
1567,1500.0
1568,1527.0388780063458
1569,1470.6737516658463
1570,1511.3023484641583
1571,1466.2238552350614
2379,1474.5042558077564
2380,1432.5976799408925
2381,1388.9684988239621
2382,1540.8581392648887
2383,1489.295894310947
2384,1487.9064342508166
2385,1472.5358362175305
2388,1473.2071458814657
2995,1428.2406706056206
4460,1475.0062772157696
4672,1465.9219544689365
4673,1445.7404692298755
4767,1470.001201560465
5158,1500.0
5159,1449.0749074445534
5160,1506.3829394991833
5161,1415.1053944139662
5162,1486.4031325865565
5163,1513.894208841381
5164,1440.3403938036383
5165,1536.0927075103039
5166,1472.3474580573666
5167,1515.0
5168,1536.9836165229801
5170,1474.1954818892752
5527,1500.0
5528,1500.0
5529,1475.630440579566
5530,1500.0
5531,1500.0
5532,1500.0
5533,1500.0
5534,1442.6764632843865
5535,1458.1691289085472
5536,1500.0
5538,1542.1586665674167
5539,1500.0
5541,1515.0
8050,1410.58421993469
8174,1500.0
8175,1431.276797782685
8180,1500.0
8195,1500.0
8199,1500.0
8208,1500.0
8210,1500.0
8211,1500.0
8214,1500.0
8215,1500.0
8221,1500.0
8223,1500.0
8227,1500.0
10177,1500.0
10178,1500.0
10184,1500.0
10187,1500.0
10192,1529.3528000084657
10287,1500.0
10310,1500.0
10333,1500.0
10339,1500.0
10342,1500.0
10354,1500.0
10361,1500.0
10370,1500.0
10372,1500.0
10932,1515.0
10934,1500.0
10935,1500.0
10937,1500.0
10938,1500.0
10943,1500.0
10945,1500.0
10950,1500.0
10952,1500.0
10954,1500.0
10955,1500.0
10959,1515.0
10963,1515.0
10964,1500.0
10965,1500.0
11017,1485.0
11027,1515.0
11034,1500.0
11037,1500.0
11038,1485.0
11049,1500.0
16500,1500.0
16621,1500.0
17262,1500.0
17871,1500.0
17883,1500.0
17939,1500.0
17950,1500.0
17952,1500.0
17960,1500.0
17962,1485.0
17973,1500.0
19071,1500.0
19072,1500.0
19073,1529.3528000084657
20785,1500.0
21057,1500.0
21302,1500.0
21458,1500.0
21460,1515.0
21463,1500.0
21464,1500.0
21465,1471.2665079213741
21466,1528.0885442384276
21472,1500.0
21473,1500.0
21474,1485.0
21475,1500.0
21476,1500.0
21477,1498.6526571497118
21481,1500.0
22255,1500.0
22340,1500.0
22341,1500.0
22425,1500.0
22428,1500.0
22430,1500.0
22435,1500.0
22925,1500.0
22930,1500.0
23256,1500.0
23257,1500.0
23258,1500.0
23259,1500.0
23260,1500.0
